,animal_id,animal_subid,animal_area_pkid,animal_shelter_pkid,animal_place,animal_kind,animal_Variety,animal_sex,animal_bodytype,animal_colour,animal_age,animal_sterilization,animal_bacterin,animal_foundplace,animal_title,animal_status,animal_remark,animal_caption,animal_opendate,animal_closeddate,animal_update,animal_createtime,shelter_name,album_file,album_update,cDate,shelter_address,shelter_tel
0,442866,VAAAG115021403,2,49,臺北市動物之家,狗,混種犬          ,F,MEDIUM,黃色,ADULT,T,F,華興里木柵路一段378巷,,OPEN,,,2026-04-23,2999-12-31,2026-04-23,2026-02-14,臺北市動物之家,https://www.pet.gov.tw/upload/pic/1771054767798.png,,2026-04-23,臺北市內湖區安美街191號,(02)87913254
1,450071,DAAAG1150413005,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,F,MEDIUM,黃白色,ADULT,F,F,,,OPEN,救援時呼吸道感染住院治療，115.4.22回所觀察,,2026-04-13,2999-12-31,2026-04-22,2026-04-13,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1776832761350.png,,2026-04-22,新竹縣竹北市縣政五街192號,(03)5519548
2,449908,DAAAG1150419002,7,63,新竹縣動物保護教育園區,貓,混種貓                 ,F,MEDIUM,黃色,ADULT,F,F,,,OPEN,橡皮筋纏繞胸腹外傷治療中,,2026-04-19,2999-12-31,2026-04-21,2026-04-19,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1776736382245.png,,2026-04-21,新竹縣竹北市縣政五街192號,(03)5519548
3,432466,RAAAG1141126001,8,62,新竹市動物保護教育園區,貓,混種貓                 ,F,MEDIUM,,ADULT,T,F,西濱路一段189巷,,OPEN,隔離舍,,2026-04-23,2999-12-31,2026-04-23,2025-11-26,新竹市動物保護教育園區,https://www.pet.gov.tw/upload/pic/1764143454714.png,,2026-04-23,新竹市南寮里海濱路250號,(03)5368329
4,445733,DAAAG1150312003,7,63,新竹縣動物保護教育園區,狗,混種犬          ,M,SMALL,黑色,CHILD,F,F,,,OPEN,安排115.4.30(四)絕育及上午9點開放認養，若絕育當天認養須等候絕育手術完成動物甦醒才能帶走。入所時剛長牙。,,2026-04-30,2999-12-31,2026-04-23,2026-03-12,新竹縣動物保護教育園區,https://www.pet.gov.tw/upload/pic/1775746471994.png,,2026-04-23,新竹縣竹北市縣政五街192號,(03)5519548
5,446501,AAAHG1150323002,3,58,新北市五股區公立動物之家,狗,混種犬          ,M,MEDIUM,虎斑色,ADULT,T,F,林口區林口大水湳路95號,,OPEN,,,2026-04-05,2999-12-31,2026-04-23,2026-03-23,新北市五股區公立動物之家,https://www.pet.gov.tw/upload/pic/1774237663695.png,,2026-04-23,新北市五股區外寮路9-9號,(02)82925265
6,450200,S150423-02,16,74,臺南市動物之家善化站,狗,混種犬          ,F,MEDIUM,黑色,ADULT,N,F,,,OPEN,本站動物皆採現場互動面談後評估能否認養，不接受電話或系統上預約。,,2026-04-30,2999-12-31,,2026-04-23,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1776914583346.png,,,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
7,450199,S150423-01,16,74,臺南市動物之家善化站,狗,混種犬          ,F,MEDIUM,虎斑色,ADULT,N,F,,,OPEN,本站動物皆採現場互動面談後評估能否認養，不接受電話或系統上預約。,,2026-04-30,2999-12-31,,2026-04-23,臺南市動物之家善化站,https://www.pet.gov.tw/upload/pic/1776914475759.png,,,臺南市善化區昌隆里東勢寮1-19號,(06)5832399
8,449364,HAAAG1150415C7,12,70,南投縣公立動物收容所,貓,混種貓                 ,F,SMALL,虎斑色,ADULT,T,F,日月洞,,OPEN,,,2026-04-22,2999-12-31,2026-04-23,2026-04-15,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1776303869492.png,,2026-04-23,南投縣南投市嶺興路36-1號,(049)2225440
9,449938,HAAAG1150420C2,12,70,南投縣公立動物收容所,貓,混種貓                 ,F,SMALL,虎斑色,ADULT,T,F,井頭巷,,OPEN,,,2026-04-22,2999-12-31,2026-04-23,2026-04-20,南投縣公立動物收容所,https://www.pet.gov.tw/upload/pic/1776739389052.png,,2026-04-23,南投縣南投市嶺興路36-1號,(049)2225440
